date,mktrf,smb,hml
19700204,-0.007400,-0.003100,0.007300
19700205,-0.004100,-0.001700,-0.000600
19700206,0.005900,0.001700,-0.003200
19700209,0.008200,-0.000700,-0.002200
19700210,-0.009400,0.003500,0.001000
19700211,0.009000,-0.001600,-0.008300
19700212,-0.002100,0.002700,0.002800
19700213,-0.001800,-0.000200,0.006300
19700216,-0.000700,0.002000,0.003800
19700217,-0.002000,-0.000700,0.001900
19700218,0.011900,-0.005100,-0.000500
19700219,0.002800,-0.003100,0.005300
19700220,0.003200,-0.006200,0.008700
19700224,-0.000300,-0.001000,0.004700
19700225,0.015200,-0.001800,0.002200
19700226,-0.005300,0.000800,0.006400
19700227,0.006900,0.001100,0.004100
19700302,0.001300,-0.001600,0.007000
19700303,0.005800,-0.004300,0.006100
19700304,-0.002500,0.001500,0.006100
19700305,-0.000200,0.001700,0.003700
19700306,-0.006900,0.002300,0.002600
19700309,-0.010800,0.000000,0.007900
19700310,0.001400,-0.002600,-0.003300
19700311,-0.001400,-0.001200,0.004600
19700312,-0.005100,-0.002200,0.003900
19700313,-0.006300,-0.002900,0.007300
19700316,-0.011500,-0.001300,0.003600
19700317,0.003900,-0.001500,-0.004600
19700318,0.002600,-0.001300,0.001400
19700319,-0.002900,-0.003200,0.003700
19700320,-0.005200,-0.004900,0.006600
19700323,-0.001400,-0.001800,-0.000700
19700324,0.010100,-0.005100,-0.004400
19700325,0.021400,0.001200,-0.005200
19700326,0.001000,0.003000,-0.001000
19700330,-0.002800,0.001000,-0.003000
19700331,-0.000500,-0.000200,0.001100
19700401,0.004500,-0.000700,0.000300
19700402,-0.003900,0.001200,0.001100
19700403,-0.004900,0.000100,0.009800
19700406,-0.008300,-0.002800,0.011600
19700407,-0.003600,-0.001200,0.005900
19700408,-0.001900,-0.002500,0.000900
19700409,-0.001000,-0.006500,0.004300
19700410,-0.004400,-0.004100,-0.002900
19700413,-0.009000,-0.008700,0.010500
19700414,-0.008600,-0.005200,0.003400
19700415,-0.003100,-0.002000,0.003000
19700416,-0.011400,-0.002900,0.007000
19700417,-0.003300,-0.002500,0.001000
19700420,0.002200,0.000100,-0.005500
19700421,-0.005700,-0.003100,0.006800
19700422,-0.014800,-0.006000,0.010600
19700423,-0.016500,-0.006400,0.005200
19700424,-0.005100,-0.005200,0.001800
19700427,-0.018400,-0.008700,0.009100
19700428,-0.014700,-0.006100,0.006000
19700429,0.021100,0.001600,-0.023000
19700430,-0.004000,0.001800,0.006300
19700501,-0.001400,-0.000200,0.001700
19700504,-0.026000,-0.004200,0.017900
19700505,-0.011300,-0.005300,0.005700
19700506,0.012000,0.003800,-0.009500
19700507,0.005900,0.000300,-0.000800
19700508,-0.005200,-0.000300,0.002900
19700511,-0.011100,-0.000200,0.006400
19700512,-0.009300,-0.002100,0.005400
19700513,-0.017600,-0.005200,0.010100
19700514,-0.015300,-0.008700,0.006300
19700515,0.018300,-0.003300,-0.009500
19700518,0.001300,-0.001100,0.001800
19700519,-0.020100,-0.001500,0.013300
19700520,-0.026600,-0.005200,0.016900
19700521,-0.020100,-0.009500,0.010300
19700522,-0.001500,-0.006800,-0.006500
19700525,-0.032100,-0.016400,0.017500
19700526,-0.013200,-0.005300,0.005800
19700527,0.053000,0.013500,-0.037300
19700528,0.026300,0.009900,-0.012000
19700529,0.027000,0.001200,-0.013300
19700601,0.018300,0.010600,-0.017200
19700602,0.001200,0.005500,-0.003600
19700603,0.011100,0.008800,-0.009200
19700604,-0.015800,-0.002600,0.013700
19700605,-0.017000,-0.003400,0.003400
19700608,0.001000,0.000100,0.001300
19700609,0.000100,-0.000100,-0.004500
19700610,-0.010300,-0.000100,0.002400
19700611,-0.014200,-0.002300,0.010300
19700612,-0.004200,-0.003100,-0.002600
19700615,0.003000,0.001300,-0.005400
19700616,0.022800,-0.004700,-0.012600
19700617,-0.002700,-0.001300,0.005800
19700618,0.005600,-0.003300,-0.006900
19700619,0.006600,-0.002000,-0.000300
19700622,-0.006700,-0.001200,0.001500
19700623,-0.024900,-0.000100,0.012000
19700624,-0.011500,-0.008100,0.005800
19700625,-0.000500,-0.005800,-0.000300
19700626,-0.008200,-0.001800,0.004600
19700629,-0.008700,-0.003400,0.003000
19700630,-0.003000,-0.005700,0.005600
19700701,0.003300,-0.005600,-0.002600
19700702,-0.002600,-0.004900,0.005400
19700706,-0.015800,-0.002800,0.008100
19700707,-0.008700,-0.003300,0.001500
19700708,0.023800,-0.006600,-0.012900
19700709,0.016100,0.001900,-0.000200
19700710,0.007100,0.000500,0.001400
19700713,-0.000700,0.001700,0.007400
19700714,-0.001500,-0.001600,-0.002500
19700715,0.009800,-0.003000,-0.002500
19700716,0.013300,-0.003100,0.001200
19700717,0.016700,-0.000800,0.001200
19700720,0.001300,0.002400,0.004400
19700721,-0.010100,0.000100,0.003000
19700722,0.001200,0.005400,0.001000
19700723,0.012200,-0.004000,-0.002000
19700724,-0.002300,0.005800,-0.001700
19700727,-0.001900,0.003400,0.002400
19700728,0.002600,0.002100,-0.003700
19700729,0.003700,0.004800,-0.003100
19700730,0.000600,0.001200,-0.002000
19700731,-0.000600,0.001300,0.004600
19700803,-0.012200,0.002000,0.004700
19700804,0.001700,-0.002800,-0.001200
19700805,-0.000800,-0.000900,0.001900
19700806,-0.001800,-0.004000,0.004700
19700807,0.002600,-0.001900,0.004200
19700810,-0.014400,0.000000,0.004200
19700811,-0.005700,-0.002100,0.003200
19700812,-0.004900,0.001200,0.006600
19700813,-0.009000,0.000800,0.007600
19700814,0.004100,-0.003100,0.001400
19700817,0.001700,-0.002500,-0.005200
19700818,0.010600,-0.005200,-0.001900
19700819,0.009000,-0.005600,0.003900
19700820,0.007500,-0.007500,0.000300
19700821,0.020900,-0.001700,-0.001600
