"","PERMNO","TICKER","CUSIP","year","RET","mcap"
"7462",14658,"KTWO","48273J10",2015,-0.0541407028013667,782817.7
"7463",14658,"KTWO","48273J10",2016,0.0151962095944709,807331.14
"7464",14659,"LALT","73935B87",2015,-0.0809886052116313,9679.6
"7465",14659,"LALT","73935B87",2016,0.0293786913585874,13350
"7466",14660,"NVCN","64065J10",2015,-0.340181136844839,349973
"7467",14660,"NVCN","64065J10",2016,-0.615553403375554,289760.1
"7468",14661,"OXBR","G6856M10",2015,0.0538972998217211,37980
"7469",14661,"OXBR","G6856M10",2016,0.149513413447514,31633.2
"7470",14662,"QAT","46434V77",2015,-0.173080908774303,43382.5
"7471",14662,"QAT","46434V77",2016,0.0367545212922784,41220
"7472",14663,"QRHC","74836W20",2015,-0.518750857028774,169633.52
"7473",14663,"QRHC","74836W20",2016,-0.558081967893613,73791.2588
"7474",14666,"QTNT","G7326810",2015,-0.111107183336095,283417.5
"7475",14666,"QTNT","G7326810",2016,-0.697500349968975,328296.24
"7476",14667,"RESN","76118L10",2015,-0.771947230684204,83184
"7477",14667,"RESN","76118L10",2016,0.90566094393588,19118.88
"7478",14668,"SCYX","81129210",2015,-0.377754874979746,84779.52
"7479",14668,"SCYX","81129210",2016,-0.486309739819528,84826.6
"7480",14669,"SEMI","Y8213L10",2015,-0.57781092307242,765260
"7481",14670,"SFBS","81768T10",2015,0.451815868011076,806065
"7482",14670,"SFBS","81768T10",2016,0.587246847441339,1185407.72
"7483",14671,"SGBK","86181110",2015,0.116498448840243,299240.9
"7484",14671,"SGBK","86181110",2016,0.282177520613751,410167.5
"7485",14674,"TBPH","G8807B10",2015,0.0985361849961215,473648.7
"7486",14674,"TBPH","G8807B10",2016,0.945110268111852,616811.44
"7487",14675,"TGEN","87876P20",2015,-0.329501784627754,79689.06
"7488",14675,"TGEN","87876P20",2016,0.200000102041951,61350.28
"7489",14676,"TOUR","89977P10",2015,0.331659099287106,155218.76
"7490",14676,"TOUR","89977P10",2016,-0.452436126362174,490953.93
"7491",14677,"TRUE","89785L10",2015,-0.583408231229012,1736709.12
"7492",14677,"TRUE","89785L10",2016,0.310270354375579,750473.68
"7493",14678,"UAE","46434V76",2015,-0.153024862834649,46109
"7494",14678,"UAE","46434V76",2016,0.0964926106578572,24597.76
"7495",14682,"RYAM","75508B10",2015,-0.54881117237632,961398.62
"7496",14682,"RYAM","75508B10",2016,0.617734847886431,408150.96
"7497",14683,"SSE","81809710",2015,-0.805915456050829,291976.58
"7498",14683,"SSE","81809710",2016,-0.850762322186801,62421.7
"7499",14684,"TMST","88739910",2015,-0.76950362905079,1698189.98
"7500",14684,"TMST","88739910",2016,0.847266671145971,360606.72
"7501",14685,"FNFV","31620R40",2015,0.0674628049233361,1079091.45
"7502",14685,"FNFV","31620R40",2016,0.219938423049835,813770.52
"7503",14686,"NSAM","66705Y10",2015,-0.450242701727055,4255583.04
"7504",14686,"NSAM","66705Y10",2016,0.269811655005155,2339920.16
"7505",14687,"ABY","G0751N10",2015,-0.248067506650319,2228000
"7506",14687,"ABY","G0751N10",2016,0.027710181385572,1866040.54
"7507",14688,"AMPH","03209R10",2015,0.225671344176903,528620.48
"7508",14688,"AMPH","03209R10",2016,0.294445665085413,619212.6
"7509",14689,"AMTX","00770K20",2015,-0.499142336122614,123900
"7510",14689,"AMTX","00770K20",2016,-0.52068752531726,51009.4
"7511",14690,"ARDX","03969710",2015,-0.040752422830568,376613.14
